supplier_id,timestamp,category,supplier_program,scope3_emissions,region,market_conditions,energy_mix,supplier_size,baseline_emissions,emission_factor,confidence_score
SUP-0023,2025-07-23,Cat1_Purchased_Goods,0,-9.7,EMEA,0.43,0.52,small,414.0,2.5,0.63
SUP-0024,2024-04-13,Cat1_Purchased_Goods,0,7.9,APAC,0.51,0.29,medium,836.0,2.5,0.9
SUP-0025,2025-11-15,Cat1_Purchased_Goods,0,-9.8,EU,0.61,0.4,small,978.0,2.5,0.77
SUP-0026,2025-11-28,Cat4_Transport,0,-10.5,APAC,0.76,0.26,small,329.0,0.12,0.69
SUP-0027,2024-07-14,Cat4_Transport,1,-24.1,LATAM,0.49,0.35,small,209.0,0.12,0.77
SUP-0028,2025-08-26,Cat1_Purchased_Goods,0,4.4,APAC,0.48,0.21,small,380.0,2.5,0.62
SUP-0029,2024-04-27,Cat1_Purchased_Goods,1,-60.3,APAC,0.92,0.37,medium,649.0,2.5,0.75
SUP-0030,2024-03-26,Cat1_Purchased_Goods,0,-7.6,EU,0.88,0.45,small,364.0,2.5,0.76
SUP-0031,2024-01-23,Cat11_Use_of_Products,1,-115.1,EU,0.6,0.54,large,913.0,1.8,0.98
SUP-0032,2024-12-01,Cat4_Transport,0,-12.6,APAC,0.7,0.44,small,417.0,0.12,0.8
SUP-0033,2025-07-30,Cat1_Purchased_Goods,1,-114.8,EMEA,0.53,0.37,large,1111.0,2.5,0.86
SUP-0034,2024-07-14,Cat11_Use_of_Products,1,-49.4,APAC,0.52,0.26,medium,686.0,1.8,0.95
SUP-0035,2024-04-08,Cat6_Business_Travel,0,24.8,NA,0.68,0.33,medium,953.0,0.255,0.85
SUP-0036,2024-08-04,Cat4_Transport,1,-77.1,EU,0.59,0.38,medium,332.0,0.12,0.88
SUP-0037,2025-01-18,Cat1_Purchased_Goods,0,0.7,APAC,0.63,0.15,medium,681.0,2.5,0.83
SUP-0038,2025-11-23,Cat4_Transport,1,-36.8,APAC,0.58,0.15,small,546.0,0.12,0.73
SUP-0039,2024-09-09,Cat1_Purchased_Goods,1,-70.9,LATAM,0.73,0.27,medium,904.0,2.5,0.83
SUP-0040,2025-10-09,Cat11_Use_of_Products,0,24.8,NA,0.8,0.11,medium,600.0,1.8,0.72
SUP-0041,2025-10-14,Cat6_Business_Travel,0,-8.2,NA,0.7,0.41,medium,550.0,0.255,0.78
SUP-0042,2025-05-19,Cat11_Use_of_Products,0,-6.3,NA,0.6,0.36,small,434.0,1.8,0.86
SUP-0043,2025-06-09,Cat6_Business_Travel,0,-0.4,NA,0.82,0.27,large,1161.0,0.255,0.78
SUP-0044,2025-01-07,Cat4_Transport,0,7.8,NA,0.33,0.12,small,555.0,0.12,0.67
SUP-0045,2025-07-11,Cat4_Transport,1,-141.8,EU,0.72,0.47,large,1174.0,0.12,0.86
SUP-0046,2024-01-05,Cat11_Use_of_Products,1,-60.0,EU,0.8,0.44,medium,443.0,1.8,0.86
SUP-0047,2025-06-01,Cat6_Business_Travel,0,-3.3,APAC,0.62,0.35,medium,692.0,0.255,0.86
SUP-0048,2024-03-25,Cat11_Use_of_Products,0,20.6,APAC,0.68,0.38,small,195.0,1.8,0.84
SUP-0049,2025-11-04,Cat1_Purchased_Goods,1,-72.3,APAC,0.52,0.55,large,988.0,2.5,0.85
SUP-0050,2024-03-15,Cat1_Purchased_Goods,0,-20.3,EU,0.34,0.31,small,559.0,2.5,0.79
SUP-0051,2024-11-30,Cat11_Use_of_Products,1,-51.1,NA,0.6,0.45,medium,374.0,1.8,0.84
SUP-0052,2024-02-22,Cat4_Transport,0,-10.6,NA,0.29,0.63,small,473.0,0.12,0.73
SUP-0053,2025-11-26,Cat4_Transport,1,-121.1,NA,0.61,0.39,large,1184.0,0.12,0.86
SUP-0054,2025-11-12,Cat1_Purchased_Goods,0,-24.1,EU,0.57,0.46,small,185.0,2.5,0.67
SUP-0055,2024-12-15,Cat1_Purchased_Goods,0,6.5,EU,0.63,0.45,medium,732.0,2.5,0.83
SUP-0056,2024-01-28,Cat6_Business_Travel,1,-42.8,NA,0.65,0.72,medium,786.0,0.255,0.98
SUP-0057,2024-01-15,Cat1_Purchased_Goods,1,-88.7,EU,0.78,0.48,medium,331.0,2.5,0.88
SUP-0058,2025-06-08,Cat6_Business_Travel,0,16.0,APAC,0.6,0.53,medium,569.0,0.255,0.75
SUP-0059,2025-02-28,Cat4_Transport,1,-131.6,NA,0.6,0.15,large,1071.0,0.12,0.81
SUP-0060,2025-09-15,Cat1_Purchased_Goods,1,-43.8,EU,0.48,0.48,small,407.0,2.5,0.71
SUP-0061,2024-01-04,Cat4_Transport,1,-156.9,EU,0.72,0.52,large,1087.0,0.12,0.98
SUP-0062,2024-06-21,Cat1_Purchased_Goods,0,-1.5,LATAM,0.2,0.24,small,442.0,2.5,0.76
SUP-0063,2024-05-18,Cat4_Transport,0,-11.4,EMEA,0.49,0.09,medium,451.0,0.12,0.87
SUP-0064,2024-06-16,Cat6_Business_Travel,0,-7.1,LATAM,0.82,0.05,small,479.0,0.255,0.78
SUP-0065,2025-08-10,Cat6_Business_Travel,0,3.9,NA,0.68,0.43,large,1113.0,0.255,0.84
SUP-0066,2025-01-13,Cat1_Purchased_Goods,0,3.0,APAC,0.72,0.46,large,1356.0,2.5,0.88
SUP-0067,2025-07-28,Cat11_Use_of_Products,0,-7.5,APAC,0.72,0.05,small,731.0,1.8,0.72
SUP-0068,2025-10-07,Cat6_Business_Travel,0,17.9,NA,0.6,0.45,medium,956.0,0.255,0.75
SUP-0069,2025-06-05,Cat1_Purchased_Goods,1,-89.8,APAC,0.26,0.33,large,1036.0,2.5,0.89
SUP-0070,2025-10-09,Cat6_Business_Travel,0,26.3,EU,0.8,0.5,small,530.0,0.255,0.62
SUP-0071,2025-07-03,Cat1_Purchased_Goods,1,-82.0,EU,0.71,0.48,medium,623.0,2.5,0.74
SUP-0072,2025-09-07,Cat4_Transport,1,-110.7,EMEA,0.63,0.26,large,1172.0,0.12,0.75
SUP-0073,2024-01-29,Cat11_Use_of_Products,1,-153.8,EU,0.55,0.39,large,1383.0,1.8,0.93
SUP-0074,2024-01-01,Cat4_Transport,1,-64.2,EMEA,0.58,0.48,medium,612.0,0.12,0.86
SUP-0075,2025-06-20,Cat4_Transport,1,-94.5,EMEA,0.73,0.35,large,852.0,0.12,0.74
SUP-0076,2024-06-28,Cat1_Purchased_Goods,1,-139.9,NA,0.77,0.32,large,1377.0,2.5,0.88
SUP-0077,2024-05-20,Cat6_Business_Travel,0,19.3,NA,0.53,0.1,medium,724.0,0.255,0.85
SUP-0078,2024-01-19,Cat4_Transport,1,-138.7,EU,0.76,0.6,large,702.0,0.12,0.94
SUP-0079,2025-10-04,Cat4_Transport,1,-23.8,NA,0.55,0.34,small,362.0,0.12,0.77
SUP-0080,2024-11-08,Cat6_Business_Travel,1,-37.0,EU,0.67,0.3,small,321.0,0.255,0.82
SUP-0081,2024-04-29,Cat11_Use_of_Products,1,-80.3,LATAM,0.56,0.17,large,959.0,1.8,0.89
SUP-0082,2025-11-03,Cat1_Purchased_Goods,0,-6.3,EU,0.86,0.3,small,150.0,2.5,0.57
SUP-0083,2024-09-17,Cat1_Purchased_Goods,0,5.3,NA,0.54,0.41,large,1191.0,2.5,0.91
SUP-0084,2024-06-06,Cat6_Business_Travel,1,-113.2,APAC,0.59,0.29,large,1045.0,0.255,0.9
SUP-0085,2024-08-22,Cat11_Use_of_Products,0,18.8,NA,0.77,0.49,small,337.0,1.8,0.78
SUP-0086,2024-02-10,Cat6_Business_Travel,0,23.7,NA,0.68,0.54,medium,630.0,0.255,0.8
SUP-0087,2025-09-25,Cat11_Use_of_Products,0,13.8,NA,0.57,0.49,medium,508.0,1.8,0.84
SUP-0088,2024-11-05,Cat11_Use_of_Products,0,6.0,APAC,0.71,0.18,medium,571.0,1.8,0.74
SUP-0089,2024-06-02,Cat1_Purchased_Goods,0,-4.5,APAC,0.85,0.17,medium,848.0,2.5,0.82
SUP-0090,2025-05-12,Cat1_Purchased_Goods,0,1.1,LATAM,0.77,0.14,medium,436.0,2.5,0.78
SUP-0091,2025-10-22,Cat4_Transport,1,-50.1,LATAM,0.8,0.42,medium,792.0,0.12,0.72
SUP-0092,2024-01-16,Cat4_Transport,0,10.8,EMEA,0.76,0.35,small,238.0,0.12,0.8
SUP-0093,2025-05-04,Cat1_Purchased_Goods,0,-26.2,APAC,0.47,0.58,medium,833.0,2.5,0.84
SUP-0094,2024-12-29,Cat4_Transport,0,18.0,APAC,0.73,0.05,large,1285.0,0.12,0.8
SUP-0095,2025-06-29,Cat4_Transport,1,-103.3,EU,0.52,0.62,large,744.0,0.12,0.84
SUP-0096,2024-08-26,Cat1_Purchased_Goods,0,1.7,NA,0.63,0.35,small,661.0,2.5,0.83
SUP-0097,2024-10-19,Cat11_Use_of_Products,0,15.9,EU,0.31,0.31,small,512.0,1.8,0.72
SUP-0098,2024-10-28,Cat11_Use_of_Products,1,-93.4,APAC,0.61,0.39,large,1085.0,1.8,0.89
SUP-0099,2025-05-20,Cat1_Purchased_Goods,0,-5.9,LATAM,0.54,0.16,medium,625.0,2.5,0.81
SUP-0100,2024-06-08,Cat6_Business_Travel,0,-3.6,APAC,0.77,0.07,medium,680.0,0.255,0.83
SUP-0101,2025-06-20,Cat4_Transport,0,-7.5,APAC,0.39,0.16,small,372.0,0.12,0.69
SUP-0102,2024-11-11,Cat11_Use_of_Products,1,-120.9,EU,0.61,0.67,large,1236.0,1.8,0.91
SUP-0103,2024-08-03,Cat11_Use_of_Products,0,16.7,LATAM,0.66,0.39,medium,796.0,1.8,0.91
SUP-0104,2024-07-09,Cat11_Use_of_Products,0,10.2,APAC,0.68,0.18,small,394.0,1.8,0.76
SUP-0105,2024-08-11,Cat4_Transport,1,-93.4,EU,0.56,0.34,medium,829.0,0.12,0.86
SUP-0106,2025-04-11,Cat11_Use_of_Products,1,-45.4,LATAM,0.38,0.32,medium,881.0,1.8,0.81
SUP-0107,2025-02-04,Cat4_Transport,0,2.7,APAC,0.52,0.3,medium,546.0,0.12,0.7
SUP-0108,2025-04-03,Cat1_Purchased_Goods,1,-38.2,APAC,0.57,0.33,medium,516.0,2.5,0.82
SUP-0109,2024-01-22,Cat11_Use_of_Products,1,-131.1,EU,0.32,0.38,large,1015.0,1.8,0.94
SUP-0110,2024-06-11,Cat1_Purchased_Goods,0,12.2,EU,0.77,0.49,medium,688.0,2.5,0.86
SUP-0111,2025-01-21,Cat11_Use_of_Products,0,-15.8,LATAM,0.85,0.48,small,491.0,1.8,0.73
SUP-0112,2025-12-26,Cat6_Business_Travel,0,-26.6,APAC,0.32,0.2,small,333.0,0.255,0.68
SUP-0113,2024-04-11,Cat6_Business_Travel,0,-2.4,EMEA,0.55,0.36,medium,536.0,0.255,0.82
SUP-0114,2024-08-29,Cat1_Purchased_Goods,1,-74.9,NA,0.59,0.33,medium,660.0,2.5,0.95
SUP-0115,2024-05-22,Cat1_Purchased_Goods,1,-21.2,EU,0.81,0.56,small,496.0,2.5,0.8
SUP-0116,2024-09-20,Cat6_Business_Travel,0,28.7,EMEA,0.95,0.43,medium,650.0,0.255,0.76
SUP-0117,2024-05-06,Cat1_Purchased_Goods,0,4.9,APAC,0.45,0.19,medium,925.0,2.5,0.96
SUP-0118,2025-08-16,Cat1_Purchased_Goods,1,-89.9,EU,0.95,0.43,medium,627.0,2.5,0.63
SUP-0119,2024-11-27,Cat4_Transport,0,11.2,EU,0.66,0.57,large,1044.0,0.12,0.96
SUP-0120,2025-07-15,Cat4_Transport,0,-1.1,EMEA,0.87,0.15,medium,684.0,0.12,0.8
SUP-0121,2025-06-03,Cat4_Transport,1,-82.5,NA,0.63,0.07,medium,907.0,0.12,0.75
SUP-0122,2025-05-16,Cat4_Transport,0,-7.7,EMEA,0.34,0.31,medium,872.0,0.12,0.78
SUP-0123,2025-03-24,Cat11_Use_of_Products,1,-22.9,LATAM,0.37,0.27,small,213.0,1.8,0.64
SUP-0124,2024-12-26,Cat4_Transport,0,17.3,NA,0.68,0.45,small,274.0,0.12,0.78
SUP-0125,2024-06-04,Cat4_Transport,1,-81.2,EMEA,0.55,0.3,medium,765.0,0.12,0.9
SUP-0126,2025-04-29,Cat4_Transport,0,-29.6,EMEA,0.65,0.47,medium,837.0,0.12,0.75
SUP-0127,2025-01-18,Cat11_Use_of_Products,1,-52.2,EU,0.49,0.51,small,461.0,1.8,0.78
SUP-0128,2024-12-23,Cat6_Business_Travel,0,6.3,EMEA,0.9,0.47,small,395.0,0.255,0.77
SUP-0129,2024-05-26,Cat6_Business_Travel,1,-127.9,EMEA,0.32,0.46,large,1278.0,0.255,0.91
SUP-0130,2024-06-09,Cat6_Business_Travel,1,-113.5,NA,0.67,0.32,large,1342.0,0.255,0.97
SUP-0131,2025-08-16,Cat11_Use_of_Products,0,19.0,EMEA,0.38,0.24,medium,785.0,1.8,0.65
SUP-0132,2025-12-11,Cat4_Transport,0,4.6,APAC,0.94,0.21,medium,860.0,0.12,0.69
SUP-0133,2024-01-03,Cat11_Use_of_Products,1,-78.0,APAC,0.36,0.27,large,943.0,1.8,0.8
SUP-0134,2025-05-12,Cat11_Use_of_Products,1,-44.1,APAC,0.58,0.11,medium,837.0,1.8,0.73
SUP-0135,2024-11-29,Cat1_Purchased_Goods,0,13.6,APAC,0.75,0.18,small,386.0,2.5,0.68
SUP-0136,2025-10-19,Cat11_Use_of_Products,1,-101.7,NA,0.61,0.39,large,941.0,1.8,0.86
SUP-0137,2025-03-20,Cat4_Transport,1,-96.2,NA,0.63,0.51,large,1001.0,0.12,0.86
SUP-0138,2024-04-27,Cat6_Business_Travel,0,1.1,APAC,0.67,0.34,medium,541.0,0.255,0.79
SUP-0139,2025-08-02,Cat4_Transport,1,-87.9,NA,0.5,0.38,large,1156.0,0.12,0.75
SUP-0140,2025-11-17,Cat4_Transport,1,-150.0,EU,0.62,0.32,large,903.0,0.12,0.74
SUP-0141,2024-03-17,Cat11_Use_of_Products,1,-40.4,APAC,0.66,0.16,medium,813.0,1.8,0.86
SUP-0142,2025-04-03,Cat1_Purchased_Goods,1,-38.1,EMEA,0.84,0.3,small,485.0,2.5,0.65
SUP-0143,2025-02-28,Cat11_Use_of_Products,0,12.0,APAC,0.52,0.27,medium,593.0,1.8,0.72
SUP-0144,2024-03-07,Cat1_Purchased_Goods,1,-38.0,APAC,0.89,0.22,medium,804.0,2.5,0.86
SUP-0145,2025-04-21,Cat4_Transport,0,18.4,APAC,0.58,0.14,small,411.0,0.12,0.69
SUP-0146,2025-05-29,Cat1_Purchased_Goods,0,17.5,EMEA,0.72,0.36,small,411.0,2.5,0.73
SUP-0147,2024-06-09,Cat1_Purchased_Goods,1,-73.0,APAC,0.5,0.11,medium,654.0,2.5,0.82
SUP-0148,2025-03-24,Cat4_Transport,0,15.7,NA,0.95,0.35,medium,758.0,0.12,0.71
SUP-0149,2024-08-26,Cat4_Transport,0,0.7,NA,0.66,0.59,medium,770.0,0.12,0.83
SUP-0150,2025-06-09,Cat1_Purchased_Goods,0,8.5,EU,0.8,0.46,medium,545.0,2.5,0.75
SUP-0151,2024-04-19,Cat1_Purchased_Goods,1,-129.6,EMEA,0.48,0.39,large,1223.0,2.5,0.91
SUP-0152,2024-06-21,Cat4_Transport,1,-103.1,APAC,0.3,0.14,large,1110.0,0.12,0.88
SUP-0153,2024-02-29,Cat4_Transport,0,13.1,NA,0.52,0.28,medium,508.0,0.12,0.95
SUP-0154,2025-04-07,Cat1_Purchased_Goods,1,-39.8,EMEA,0.49,0.39,small,345.0,2.5,0.74
SUP-0155,2024-04-10,Cat4_Transport,1,-54.4,APAC,0.22,0.36,medium,700.0,0.12,0.85
SUP-0156,2025-04-27,Cat11_Use_of_Products,0,3.7,NA,0.71,0.35,medium,832.0,1.8,0.75
SUP-0157,2025-02-26,Cat11_Use_of_Products,1,-56.8,APAC,0.42,0.31,medium,759.0,1.8,0.75
SUP-0158,2025-05-11,Cat11_Use_of_Products,0,-5.9,APAC,0.46,0.2,medium,696.0,1.8,0.65
SUP-0159,2025-03-11,Cat11_Use_of_Products,0,2.7,EMEA,0.67,0.37,medium,633.0,1.8,0.78
SUP-0160,2024-08-29,Cat4_Transport,1,-138.9,EU,0.78,0.48,large,1312.0,0.12,0.87
SUP-0161,2025-04-11,Cat4_Transport,0,-18.7,EU,0.72,0.6,large,987.0,0.12,0.84
SUP-0162,2024-12-31,Cat11_Use_of_Products,0,-18.3,EMEA,0.78,0.5,large,1008.0,1.8,0.83
SUP-0163,2025-09-14,Cat1_Purchased_Goods,1,-129.4,EU,0.69,0.61,large,992.0,2.5,0.79
SUP-0164,2025-01-16,Cat11_Use_of_Products,0,-1.2,NA,0.59,0.26,small,544.0,1.8,0.78
SUP-0165,2024-06-08,Cat6_Business_Travel,0,0.8,APAC,0.55,0.15,large,948.0,0.255,0.85
SUP-0166,2024-05-03,Cat1_Purchased_Goods,0,3.0,NA,0.68,0.31,small,432.0,2.5,0.76
SUP-0167,2024-02-08,Cat1_Purchased_Goods,0,17.2,LATAM,0.56,0.49,large,1270.0,2.5,0.98
SUP-0168,2024-08-23,Cat6_Business_Travel,0,11.0,EU,0.34,0.39,medium,744.0,0.255,0.74
SUP-0169,2024-02-13,Cat4_Transport,0,13.7,APAC,0.32,0.26,medium,694.0,0.12,0.85
SUP-0170,2025-01-01,Cat1_Purchased_Goods,1,-61.5,EMEA,0.64,0.41,medium,899.0,2.5,0.84
SUP-0171,2025-05-05,Cat11_Use_of_Products,1,-42.4,NA,0.83,0.46,medium,670.0,1.8,0.88
SUP-0172,2024-08-21,Cat6_Business_Travel,0,-7.9,LATAM,0.43,0.25,small,183.0,0.255,0.86
SUP-0173,2025-06-19,Cat6_Business_Travel,0,4.2,EU,0.54,0.31,small,340.0,0.255,0.78
SUP-0174,2025-05-29,Cat4_Transport,1,-78.7,EU,0.78,0.57,medium,1009.0,0.12,0.75
SUP-0175,2024-07-29,Cat6_Business_Travel,0,-6.7,EU,0.74,0.53,medium,897.0,0.255,0.82
SUP-0176,2024-07-01,Cat1_Purchased_Goods,0,-3.8,APAC,0.73,0.14,small,516.0,2.5,0.73
SUP-0177,2025-02-02,Cat1_Purchased_Goods,1,-120.9,NA,0.88,0.54,large,1098.0,2.5,0.75
SUP-0178,2025-09-10,Cat1_Purchased_Goods,0,7.7,EU,0.63,0.57,large,816.0,2.5,0.84
SUP-0179,2024-03-14,Cat4_Transport,1,-64.0,EMEA,0.61,0.37,medium,620.0,0.12,0.85
SUP-0180,2025-08-18,Cat1_Purchased_Goods,0,-1.6,APAC,0.57,0.14,large,1085.0,2.5,0.78
SUP-0181,2024-06-30,Cat1_Purchased_Goods,1,-97.7,NA,0.63,0.33,large,962.0,2.5,0.98
SUP-0182,2025-06-16,Cat1_Purchased_Goods,1,-53.1,APAC,0.61,0.33,medium,737.0,2.5,0.71
SUP-0183,2024-11-08,Cat1_Purchased_Goods,1,-86.6,APAC,0.47,0.32,large,1021.0,2.5,0.86
SUP-0184,2025-03-20,Cat1_Purchased_Goods,1,-10.7,EU,0.53,0.57,small,495.0,2.5,0.77
SUP-0185,2025-11-11,Cat4_Transport,1,-45.8,LATAM,0.68,0.25,medium,804.0,0.12,0.7
SUP-0186,2024-02-26,Cat4_Transport,0,-3.9,APAC,0.91,0.25,medium,793.0,0.12,0.79
SUP-0187,2025-07-14,Cat1_Purchased_Goods,0,7.7,EU,0.77,0.36,small,391.0,2.5,0.68
SUP-0188,2025-12-26,Cat11_Use_of_Products,1,-18.5,EU,0.66,0.67,small,637.0,1.8,0.62
SUP-0189,2025-07-07,Cat6_Business_Travel,0,-19.8,APAC,0.54,0.39,small,262.0,0.255,0.73
SUP-0190,2025-04-20,Cat1_Purchased_Goods,0,13.4,LATAM,0.68,0.31,small,229.0,2.5,0.68
SUP-0191,2025-01-21,Cat1_Purchased_Goods,1,-98.1,NA,0.95,0.37,large,1132.0,2.5,0.75
SUP-0192,2025-11-18,Cat4_Transport,0,12.3,EU,0.81,0.44,medium,704.0,0.12,0.76
SUP-0193,2024-09-16,Cat6_Business_Travel,1,-127.7,EMEA,0.66,0.26,large,1315.0,0.255,0.83
SUP-0194,2024-08-14,Cat11_Use_of_Products,0,-10.4,EU,0.65,0.41,large,1371.0,1.8,0.8
SUP-0195,2024-08-13,Cat4_Transport,1,-88.2,LATAM,0.53,0.26,large,1009.0,0.12,0.98
SUP-0196,2025-06-29,Cat6_Business_Travel,0,0.4,NA,0.83,0.47,medium,883.0,0.255,0.74
SUP-0197,2025-12-24,Cat1_Purchased_Goods,0,13.1,APAC,0.67,0.13,small,420.0,2.5,0.67
SUP-0198,2024-05-22,Cat1_Purchased_Goods,0,9.6,EU,0.63,0.49,small,477.0,2.5,0.77
SUP-0199,2025-10-07,Cat1_Purchased_Goods,0,-20.8,APAC,0.34,0.05,medium,825.0,2.5,0.75
SUP-0200,2025-06-25,Cat1_Purchased_Goods,0,14.4,LATAM,0.59,0.36,medium,639.0,2.5,0.79
SUP-0201,2024-03-13,Cat1_Purchased_Goods,1,-125.5,NA,0.66,0.57,large,1123.0,2.5,0.92
SUP-0202,2024-07-21,Cat6_Business_Travel,0,-11.5,EU,0.62,0.31,small,302.0,0.255,0.84
SUP-0203,2024-03-02,Cat4_Transport,0,-8.7,LATAM,0.49,0.3,small,738.0,0.12,0.84
SUP-0204,2024-07-19,Cat11_Use_of_Products,1,-65.0,EMEA,0.75,0.05,medium,728.0,1.8,0.91
SUP-0205,2025-10-20,Cat4_Transport,0,5.5,EMEA,0.78,0.56,medium,647.0,0.12,0.64
SUP-0206,2025-06-23,Cat11_Use_of_Products,1,-132.6,EU,0.46,0.49,large,966.0,1.8,0.85
SUP-0207,2025-12-22,Cat1_Purchased_Goods,0,3.0,NA,0.54,0.27,medium,668.0,2.5,0.63
SUP-0208,2025-02-27,Cat4_Transport,1,-54.3,APAC,0.95,0.29,medium,844.0,0.12,0.61
SUP-0209,2025-12-04,Cat11_Use_of_Products,0,-1.6,APAC,0.48,0.23,small,184.0,1.8,0.64
SUP-0210,2024-07-01,Cat6_Business_Travel,0,-13.4,EMEA,0.37,0.13,medium,594.0,0.255,0.86
SUP-0211,2024-08-27,Cat11_Use_of_Products,1,-60.6,NA,0.7,0.4,medium,930.0,1.8,0.86
SUP-0212,2025-11-19,Cat1_Purchased_Goods,1,-59.5,APAC,0.27,0.14,medium,575.0,2.5,0.67
SUP-0213,2025-01-12,Cat4_Transport,0,5.8,NA,0.8,0.51,medium,712.0,0.12,0.91
SUP-0214,2025-07-16,Cat11_Use_of_Products,1,-63.7,EMEA,0.65,0.21,medium,608.0,1.8,0.69
SUP-0215,2024-11-06,Cat1_Purchased_Goods,0,13.9,APAC,0.31,0.34,small,303.0,2.5,0.74
SUP-0216,2025-03-13,Cat1_Purchased_Goods,1,-67.0,EMEA,0.62,0.18,medium,868.0,2.5,0.92
SUP-0217,2024-02-10,Cat4_Transport,0,-6.2,NA,0.8,0.15,medium,493.0,0.12,0.93
SUP-0218,2025-03-15,Cat1_Purchased_Goods,0,0.4,EU,0.28,0.6,medium,734.0,2.5,0.8
SUP-0219,2025-03-15,Cat6_Business_Travel,1,-61.2,EMEA,0.59,0.21,medium,717.0,0.255,0.82
SUP-0220,2025-10-27,Cat1_Purchased_Goods,1,-45.2,EU,0.84,0.52,small,361.0,2.5,0.65
SUP-0221,2024-03-27,Cat4_Transport,1,-89.3,NA,0.63,0.26,large,1134.0,0.12,0.85
SUP-0222,2024-12-30,Cat4_Transport,0,-3.4,LATAM,0.47,0.15,large,940.0,0.12,0.75
SUP-0223,2025-08-26,Cat1_Purchased_Goods,0,-2.8,APAC,0.52,0.32,large,1212.0,2.5,0.86
SUP-0224,2024-08-01,Cat1_Purchased_Goods,1,-64.3,APAC,0.58,0.57,medium,630.0,2.5,0.88
SUP-0225,2024-05-19,Cat4_Transport,0,7.9,EU,0.62,0.4,medium,965.0,0.12,0.91
SUP-0226,2025-09-11,Cat4_Transport,1,-94.8,APAC,0.47,0.33,large,883.0,0.12,0.69
SUP-0227,2025-04-09,Cat4_Transport,1,-106.5,EMEA,0.68,0.43,large,1571.0,0.12,0.83
SUP-0228,2024-05-26,Cat1_Purchased_Goods,0,16.1,NA,0.72,0.36,small,533.0,2.5,0.86
SUP-0229,2025-11-11,Cat11_Use_of_Products,0,9.1,NA,0.74,0.41,small,473.0,1.8,0.71
SUP-0230,2025-07-02,Cat11_Use_of_Products,1,-144.4,EU,0.62,0.38,large,1127.0,1.8,0.79
SUP-0231,2024-09-16,Cat1_Purchased_Goods,0,-19.6,NA,0.62,0.33,small,546.0,2.5,0.81
SUP-0232,2025-10-18,Cat6_Business_Travel,0,-3.6,APAC,0.49,0.16,large,859.0,0.255,0.78
SUP-0233,2024-01-27,Cat11_Use_of_Products,1,-88.9,EU,0.38,0.48,medium,805.0,1.8,0.79
