supplier_id,supplier_region,supplier_tier,operational_maturity,inventory_days,climate_stress_index,disruption_risk_percent
SUP-0254,APAC,Tier 2,63.1,34.3,7.02,14.79
SUP-0255,APAC,Tier 1,67.4,11.0,4.41,0.0
SUP-0256,APAC,Tier 2,54.8,7.3,6.66,8.31
SUP-0257,EMEA,Tier 1,100.0,18.4,2.91,0.0
SUP-0258,EMEA,Tier 2,34.4,17.3,0.57,0.0
SUP-0259,LATAM,Tier 3,48.1,12.6,3.79,19.66
SUP-0260,APAC,Tier 3,77.4,26.5,4.29,5.88
SUP-0261,EMEA,Tier 1,82.0,19.6,4.72,0.0
SUP-0262,APAC,Tier 3,39.5,6.5,5.87,23.26
SUP-0263,APAC,Tier 2,74.5,34.8,3.41,0.0
SUP-0264,NAM,Tier 1,87.8,11.2,5.44,0.0
SUP-0265,APAC,Tier 2,74.7,7.6,8.16,21.78
SUP-0266,EMEA,Tier 2,45.3,83.2,5.66,13.22
SUP-0267,EMEA,Tier 3,72.0,26.4,3.07,0.0
SUP-0268,LATAM,Tier 2,39.3,16.6,1.07,0.0
SUP-0269,NAM,Tier 1,72.2,9.4,4.61,0.0
SUP-0270,APAC,Tier 3,42.5,33.1,6.07,31.25
SUP-0271,EMEA,Tier 3,42.9,26.4,4.16,1.12
SUP-0272,LATAM,Tier 3,51.0,39.1,3.7,7.36
SUP-0273,EMEA,Tier 3,22.6,20.6,4.28,27.66
SUP-0274,APAC,Tier 3,56.3,25.2,6.26,19.6
SUP-0275,APAC,Tier 1,77.2,10.7,5.08,0.0
SUP-0276,EMEA,Tier 2,80.0,24.1,4.59,0.0
SUP-0277,EMEA,Tier 3,28.3,5.1,2.23,8.81
SUP-0278,LATAM,Tier 2,41.7,12.3,4.13,4.88
SUP-0279,EMEA,Tier 3,20.0,23.0,0.96,0.0
SUP-0280,EMEA,Tier 1,47.1,36.6,6.33,3.3
SUP-0281,APAC,Tier 3,32.5,6.3,8.58,55.67
SUP-0282,APAC,Tier 3,60.4,11.3,6.69,25.27
SUP-0283,NAM,Tier 1,89.7,13.1,5.39,0.0
SUP-0284,EMEA,Tier 2,37.9,13.0,3.41,0.0
SUP-0285,NAM,Tier 3,43.0,31.6,1.95,7.26
SUP-0286,EMEA,Tier 3,41.6,41.6,1.88,3.08
SUP-0287,APAC,Tier 1,40.9,14.0,5.78,0.63
SUP-0288,APAC,Tier 3,38.0,46.2,2.31,1.64
SUP-0289,EMEA,Tier 2,61.0,18.2,3.74,6.01
SUP-0290,APAC,Tier 3,36.0,23.8,6.44,31.94
SUP-0291,EMEA,Tier 3,36.4,6.4,3.6,8.01
SUP-0292,APAC,Tier 2,51.6,11.3,6.23,15.11
SUP-0293,EMEA,Tier 1,93.5,18.4,0.0,0.0
SUP-0294,APAC,Tier 3,46.0,60.2,6.53,25.38
SUP-0295,APAC,Tier 3,35.9,84.6,7.09,25.63
SUP-0296,NAM,Tier 3,52.0,23.8,3.93,1.01
SUP-0297,NAM,Tier 2,50.3,10.8,4.4,10.0
SUP-0298,APAC,Tier 1,76.4,6.4,6.89,5.18
SUP-0299,NAM,Tier 2,82.2,18.3,4.87,0.13
SUP-0300,APAC,Tier 2,64.3,6.3,9.61,35.98
SUP-0301,APAC,Tier 1,70.9,35.9,4.21,0.0
SUP-0302,NAM,Tier 2,56.8,9.6,7.25,10.88
SUP-0303,APAC,Tier 3,52.7,34.6,7.27,28.84
SUP-0304,APAC,Tier 2,59.5,39.5,4.0,8.43
SUP-0305,LATAM,Tier 2,46.5,19.8,6.84,15.39
SUP-0306,APAC,Tier 3,38.3,54.3,8.06,31.45
SUP-0307,EMEA,Tier 3,46.8,12.6,3.13,1.07
SUP-0308,NAM,Tier 3,30.7,16.6,4.85,12.68
SUP-0309,LATAM,Tier 3,48.1,19.1,4.84,18.18
SUP-0310,LATAM,Tier 3,29.1,47.7,5.86,19.85
SUP-0311,NAM,Tier 3,41.2,20.0,5.16,15.99
SUP-0312,NAM,Tier 3,50.1,39.2,3.41,11.33
SUP-0313,APAC,Tier 2,60.3,39.5,1.26,0.0
SUP-0314,APAC,Tier 3,30.0,29.9,4.49,16.87
SUP-0315,APAC,Tier 2,48.8,32.6,7.93,31.14
SUP-0316,APAC,Tier 3,51.1,25.1,5.45,21.31
SUP-0317,APAC,Tier 3,33.1,6.4,6.07,29.07
SUP-0318,NAM,Tier 3,58.1,28.7,1.31,0.0
SUP-0319,NAM,Tier 1,71.9,12.2,5.03,0.0
SUP-0320,LATAM,Tier 3,54.5,11.0,7.22,29.76
SUP-0321,APAC,Tier 1,79.8,16.8,7.71,3.16
SUP-0322,APAC,Tier 2,47.0,31.9,5.32,10.99
SUP-0323,LATAM,Tier 2,61.3,53.3,6.48,14.03
SUP-0324,NAM,Tier 3,31.0,40.4,6.17,24.19
SUP-0325,NAM,Tier 3,39.2,20.6,3.55,5.64
SUP-0326,NAM,Tier 2,67.0,12.1,0.77,0.0
SUP-0327,NAM,Tier 3,32.0,43.2,5.9,27.74
SUP-0328,LATAM,Tier 1,68.4,36.7,4.66,0.0
SUP-0329,LATAM,Tier 3,38.0,19.7,3.15,10.37
SUP-0330,NAM,Tier 3,59.6,47.2,5.0,9.82
SUP-0331,APAC,Tier 2,95.3,16.4,6.52,11.17
SUP-0332,LATAM,Tier 2,79.2,22.9,7.63,7.07
SUP-0333,APAC,Tier 1,81.7,14.7,9.84,9.35
SUP-0334,LATAM,Tier 3,45.7,25.1,8.39,35.93
SUP-0335,APAC,Tier 2,52.2,5.9,4.64,6.32
SUP-0336,LATAM,Tier 2,33.9,23.9,4.83,8.88
SUP-0337,APAC,Tier 1,60.0,5.2,4.88,0.0
SUP-0338,EMEA,Tier 3,20.0,58.7,4.03,8.62
SUP-0339,EMEA,Tier 1,67.1,13.5,5.95,0.0
SUP-0340,APAC,Tier 3,34.4,16.0,2.47,11.57
SUP-0341,EMEA,Tier 3,42.3,12.4,2.83,3.88
SUP-0342,APAC,Tier 1,94.2,7.4,7.29,0.0
SUP-0343,APAC,Tier 1,36.9,15.9,5.24,9.14
SUP-0344,NAM,Tier 2,57.5,27.7,4.88,8.19
SUP-0345,NAM,Tier 3,20.0,53.9,5.91,23.91
SUP-0346,EMEA,Tier 1,52.8,5.2,4.02,0.0
SUP-0347,APAC,Tier 3,35.3,5.9,5.82,23.18
SUP-0348,APAC,Tier 3,59.5,28.6,6.35,31.27
SUP-0349,APAC,Tier 2,43.8,36.1,8.28,25.22
SUP-0350,EMEA,Tier 3,43.0,12.7,5.42,5.17
SUP-0351,EMEA,Tier 3,62.6,28.3,1.62,0.0
SUP-0352,APAC,Tier 1,65.4,8.4,7.06,7.15
SUP-0353,EMEA,Tier 2,52.6,6.5,0.43,0.0
SUP-0354,EMEA,Tier 3,26.5,93.5,2.62,13.29
SUP-0355,NAM,Tier 2,48.1,5.6,5.09,8.1
SUP-0356,APAC,Tier 1,68.7,8.5,4.76,0.0
SUP-0357,LATAM,Tier 1,64.7,67.4,6.39,0.0
SUP-0358,EMEA,Tier 3,43.4,14.7,4.7,13.44
SUP-0359,NAM,Tier 3,20.0,20.6,5.28,23.71
SUP-0360,APAC,Tier 2,43.2,6.2,4.26,4.39
SUP-0361,LATAM,Tier 3,32.0,13.5,2.85,11.1
SUP-0362,APAC,Tier 3,20.0,106.8,4.93,25.07
SUP-0363,APAC,Tier 3,58.5,9.5,4.57,12.89
SUP-0364,APAC,Tier 2,58.8,20.2,6.44,12.7
SUP-0365,EMEA,Tier 2,59.2,46.9,4.55,0.0
SUP-0366,APAC,Tier 3,20.0,11.7,8.02,48.56
SUP-0367,APAC,Tier 2,44.1,18.6,7.61,25.59
SUP-0368,LATAM,Tier 2,62.8,22.0,6.29,17.06
SUP-0369,LATAM,Tier 1,66.9,48.0,6.19,0.0
SUP-0370,EMEA,Tier 3,44.7,28.3,3.02,6.65
SUP-0371,NAM,Tier 2,71.5,13.9,2.75,0.0
SUP-0372,NAM,Tier 3,59.3,12.0,5.03,11.66
SUP-0373,NAM,Tier 3,55.7,34.3,6.38,18.26
SUP-0374,EMEA,Tier 3,44.6,6.6,2.04,0.0
SUP-0375,NAM,Tier 2,30.5,7.4,0.21,0.0
SUP-0376,NAM,Tier 2,64.9,6.0,5.88,4.97
SUP-0377,APAC,Tier 2,44.4,11.6,7.16,22.05
SUP-0378,APAC,Tier 2,64.5,82.2,3.02,0.0
SUP-0379,EMEA,Tier 1,88.0,48.9,0.0,0.0
SUP-0380,APAC,Tier 3,48.1,10.5,4.52,20.3
SUP-0381,EMEA,Tier 3,53.4,19.7,4.58,4.3
SUP-0382,APAC,Tier 2,44.6,24.9,4.68,7.21
SUP-0383,APAC,Tier 3,45.2,6.3,7.15,28.91
SUP-0384,APAC,Tier 1,49.8,42.0,3.86,3.86
SUP-0385,LATAM,Tier 2,45.0,53.1,5.78,12.26
SUP-0386,NAM,Tier 3,20.0,25.0,3.73,16.25
SUP-0387,EMEA,Tier 3,32.8,33.6,3.98,10.37
SUP-0388,APAC,Tier 1,79.2,6.0,7.91,7.83
SUP-0389,APAC,Tier 2,53.1,17.2,4.4,1.01
SUP-0390,APAC,Tier 1,63.2,39.5,8.4,7.46
SUP-0391,EMEA,Tier 2,62.2,47.4,5.14,0.0
SUP-0392,EMEA,Tier 2,60.6,31.8,2.0,0.0
SUP-0393,APAC,Tier 3,24.5,9.4,4.84,28.28
SUP-0394,APAC,Tier 1,70.6,11.2,3.5,0.0
SUP-0395,NAM,Tier 1,53.0,15.7,0.0,0.0
SUP-0396,APAC,Tier 3,44.7,71.2,4.97,26.89
SUP-0397,APAC,Tier 3,48.2,34.6,6.38,25.33
SUP-0398,NAM,Tier 1,80.1,7.6,5.18,0.0
SUP-0399,APAC,Tier 2,43.9,14.3,5.83,17.01
SUP-0400,EMEA,Tier 1,72.6,35.3,4.29,0.0
SUP-0401,APAC,Tier 1,56.0,10.2,5.29,0.0
SUP-0402,EMEA,Tier 2,55.3,70.8,4.26,0.0
SUP-0403,NAM,Tier 1,60.2,8.0,6.56,5.08
SUP-0404,APAC,Tier 1,77.5,14.8,7.78,0.0
SUP-0405,APAC,Tier 3,57.7,11.9,7.47,30.37
SUP-0406,EMEA,Tier 1,57.5,7.9,7.98,5.78
SUP-0407,NAM,Tier 2,63.8,27.8,3.62,0.0
SUP-0408,EMEA,Tier 2,21.8,5.9,6.87,19.9
SUP-0409,NAM,Tier 1,51.5,42.1,3.14,0.0
SUP-0410,LATAM,Tier 1,46.0,16.5,5.92,3.74
SUP-0411,EMEA,Tier 3,47.4,9.2,4.65,10.13
SUP-0412,EMEA,Tier 1,97.1,10.7,3.42,0.0
SUP-0413,NAM,Tier 3,62.6,34.5,3.37,0.0
SUP-0414,NAM,Tier 2,36.2,12.8,5.21,13.49
SUP-0415,NAM,Tier 2,65.7,5.6,8.2,12.72
